,split_1,split_2,split_3,split_4,split_5
haru_001,val,train,train,train,train
haru_002,train,val,train,train,train
haru_003,train,val,train,train,train
haru_004,val,train,train,train,train
haru_005,train,train,train,val,train
haru_006,train,train,val,train,train
haru_007,train,train,val,train,train
haru_008,train,train,val,train,train
haru_009,train,val,train,train,train
haru_010,train,train,train,train,val
haru_011,val,train,train,train,train
haru_012,train,train,train,train,val
haru_013,train,val,train,train,train
haru_014,val,train,train,train,train
haru_015,train,train,train,val,train
haru_016,train,train,train,train,val
haru_017,train,train,train,train,val
haru_018,train,val,train,train,train
haru_019,train,train,train,train,val
haru_020,train,train,train,train,val
haru_021,train,val,train,train,train
haru_022,train,val,train,train,train
haru_023,val,train,train,train,train
haru_024,train,train,val,train,train
haru_025,train,train,val,train,train
haru_026,train,train,train,val,train
haru_027,train,train,val,train,train
haru_028,val,train,train,train,train
haru_029,train,val,train,train,train
haru_030,train,train,train,val,train
haru_031,train,train,train,val,train
haru_032,val,train,train,train,train
haru_033,train,train,val,train,train
haru_034,train,train,val,train,train
haru_035,train,train,train,train,val
haru_036,val,train,train,train,train
haru_037,train,train,train,val,train
haru_038,train,train,val,train,train
haru_039,val,train,train,train,train
haru_040,train,train,train,train,val
haru_041,train,val,train,train,train
haru_042,train,train,val,train,train
haru_043,train,val,train,train,train
haru_044,train,train,train,val,train
haru_045,train,train,train,train,val
haru_046,train,train,train,train,val
haru_047,train,train,train,train,val
haru_048,train,train,train,val,train
haru_049,train,train,val,train,train
haru_050,train,train,train,train,val
haru_051,train,train,val,train,train
haru_052,train,train,val,train,train
haru_053,train,train,train,train,val
haru_054,val,train,train,train,train
haru_055,train,train,val,train,train
haru_056,train,train,train,train,val
haru_057,train,train,val,train,train
haru_058,train,val,train,train,train
haru_059,train,train,train,train,val
haru_060,train,val,train,train,train
haru_061,val,train,train,train,train
haru_062,train,val,train,train,train
haru_063,train,train,train,train,val
haru_064,train,val,train,train,train
haru_065,train,val,train,train,train
haru_066,train,train,train,val,train
haru_067,train,train,train,val,train
haru_068,val,train,train,train,train
haru_069,train,train,train,val,train
haru_070,train,train,train,val,train
haru_071,val,train,train,train,train
haru_072,train,val,train,train,train
haru_073,train,train,val,train,train
haru_074,train,train,train,val,train
haru_075,val,train,train,train,train
haru_076,train,train,train,val,train
haru_077,val,train,train,train,train
haru_078,train,val,train,train,train
haru_079,val,train,train,train,train
haru_080,train,train,train,train,val
haru_081,train,val,train,train,train
haru_082,train,val,train,train,train
haru_083,train,train,train,val,train
haru_084,train,train,train,val,train
haru_085,train,val,train,train,train
haru_086,train,train,val,train,train
haru_087,train,train,train,val,train
haru_088,val,train,train,train,train
haru_089,train,train,val,train,train
haru_090,train,train,train,val,train
haru_091,val,train,train,train,train
haru_092,train,train,train,val,train
haru_093,val,train,train,train,train
haru_094,train,val,train,train,train
haru_095,train,train,train,val,train
haru_096,train,train,train,train,val
haru_097,train,val,train,train,train
haru_098,val,train,train,train,train
haru_099,train,train,val,train,train
haru_100,train,train,train,val,train
haru_101,val,train,train,train,train
haru_102,train,val,train,train,train
haru_103,train,train,train,val,train
haru_104,val,train,train,train,train
haru_105,train,train,train,train,val
haru_106,train,train,train,train,val
haru_107,train,val,train,train,train
