,split_1,split_2,split_3,split_4,split_5
haru_012,val,train,train,train,train
haru_017,train,val,train,train,train
haru_020,train,train,train,train,val
haru_023,train,train,train,train,val
haru_030,train,val,train,train,train
haru_036,train,train,val,train,train
haru_039,train,train,train,val,train
haru_041,train,train,train,train,val
haru_042,val,train,train,train,train
haru_045,train,train,val,train,train
haru_074,val,train,train,train,train
haru_075,train,train,train,val,train
haru_077,train,train,train,train,val
haru_079,train,train,train,val,train
haru_080,train,train,val,train,train
haru_081,train,train,train,val,train
haru_086,train,train,train,val,train
haru_090,train,train,train,train,val
haru_091,train,train,train,train,val
haru_095,train,val,train,train,train
haru_102,val,train,train,train,train
haru_107,val,train,train,train,train
haru_111,train,train,val,train,train
haru_113,train,train,train,train,val
haru_116,train,val,train,train,train
haru_120,train,train,val,train,train
haru_122,train,train,val,train,train
haru_128,train,train,train,val,train
haru_134,train,train,train,val,train
haru_136,train,val,train,train,train
haru_137,train,val,train,train,train
haru_139,train,train,val,train,train
haru_146,train,val,train,train,train
haru_147,train,train,train,val,train
haru_152,val,train,train,train,train
haru_153,train,train,train,train,val
haru_156,train,train,val,train,train
haru_164,train,train,train,train,val
haru_166,val,train,train,train,train
haru_171,train,train,val,train,train
haru_177,train,train,val,train,train
haru_178,train,train,train,train,val
haru_180,val,train,train,train,train
haru_182,train,val,train,train,train
haru_191,train,train,val,train,train
haru_192,train,train,train,train,val
haru_193,train,train,train,train,val
haru_195,train,train,val,train,train
haru_196,val,train,train,train,train
haru_200,train,train,train,train,val
hime_015,train,train,train,val,train
hime_019,train,val,train,train,train
hime_024,val,train,train,train,train
hime_028,train,train,train,train,val
hime_035,train,val,train,train,train
hime_038,train,train,train,val,train
hime_041,train,train,val,train,train
hime_042,train,train,val,train,train
hime_046,train,train,train,val,train
hime_047,train,val,train,train,train
hime_056,train,val,train,train,train
hime_062,train,train,train,train,val
hime_064,train,train,train,val,train
hime_065,train,val,train,train,train
hime_067,train,train,train,val,train
hime_070,train,train,train,train,val
hime_073,train,train,val,train,train
hime_074,val,train,train,train,train
hime_075,val,train,train,train,train
hime_082,train,val,train,train,train
hime_097,train,train,val,train,train
hime_100,train,val,train,train,train
hime_101,train,val,train,train,train
hime_103,train,train,val,train,train
hime_110,val,train,train,train,train
hime_111,train,train,train,val,train
hime_114,train,train,train,val,train
hime_124,val,train,train,train,train
hime_128,train,val,train,train,train
hime_130,train,train,train,val,train
hime_137,val,train,train,train,train
hime_141,train,train,train,train,val
hime_148,val,train,train,train,train
hime_150,train,train,val,train,train
hime_151,train,train,train,val,train
hime_153,train,train,train,val,train
hime_159,train,train,val,train,train
hime_162,train,val,train,train,train
hime_164,val,train,train,train,train
hime_167,val,train,train,train,train
hime_178,train,train,train,val,train
hime_183,val,train,train,train,train
hime_184,val,train,train,train,train
hime_185,train,val,train,train,train
hime_188,train,train,train,val,train
hime_189,train,val,train,train,train
hime_190,train,train,train,train,val
hime_191,train,train,train,train,val
hime_196,train,train,val,train,train
hime_200,train,train,train,train,val
